,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,g,hilb1,hilb2,hilb3,hilb4,hilb5,hilb6,e
f157,1,2,5,6,7,9,0,0,0,0,0,0,0,0,-1,1,2,2,3,4,6,-78
f158,1,2,5,9,11,13,0,0,0,0,0,0,0,0,-1,1,2,2,3,4,5,-116
f159,1,2,6,7,8,9,0,0,0,0,0,0,0,0,-1,1,2,2,3,3,5,-84
f160,1,3,3,4,5,7,0,0,0,0,0,0,0,0,-1,1,1,3,4,5,8,-58
f161,1,3,4,4,5,6,0,0,0,0,0,0,0,0,-1,1,1,2,4,5,7,-52
f162,1,3,4,5,6,7,0,0,0,0,0,0,0,0,-1,1,1,2,3,4,6,-56
f163,1,3,4,5,6,9,0,0,0,0,0,0,0,0,-1,1,1,2,3,4,6,-64
f164,1,3,4,5,7,7,0,0,0,0,0,0,0,0,-1,1,1,2,3,4,5,-60
f165,1,3,4,5,7,8,0,0,0,0,0,0,0,0,-1,1,1,2,3,4,5,-64
f166,1,3,4,5,7,10,0,0,0,0,0,0,0,0,-1,1,1,2,3,4,5,-68
f167,1,3,4,5,7,11,0,0,0,0,0,0,0,0,-1,1,1,2,3,4,5,-72
f168,1,3,4,5,8,11,0,0,0,0,0,0,0,0,-1,1,1,2,3,4,5,-74
f169,1,3,4,7,10,17,0,0,0,0,0,0,0,0,-1,1,1,2,3,3,4,-100
f170,1,3,5,6,7,8,0,0,0,0,0,0,0,0,-1,1,1,2,2,3,5,-60
f171,1,4,4,5,6,7,0,0,0,0,0,0,0,0,-1,1,1,1,3,4,5,-52
f172,1,4,5,6,7,8,0,0,0,0,0,0,0,0,-1,1,1,1,2,3,4,-54
f173,1,4,5,6,7,10,0,0,0,0,0,0,0,0,-1,1,1,1,2,3,4,-68
f174,1,4,5,6,9,14,0,0,0,0,0,0,0,0,-1,1,1,1,2,3,4,-72
f175,1,4,5,7,9,13,0,0,0,0,0,0,0,0,-1,1,1,1,2,3,3,-70
f176,1,4,6,7,8,9,0,0,0,0,0,0,0,0,-1,1,1,1,2,2,3,-56
f177,1,5,6,7,9,11,0,0,0,0,0,0,0,0,-1,1,1,1,1,2,3,-58
f178,1,6,8,9,10,15,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,2,-68
f179,1,8,9,10,12,15,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,-56
f180,2,3,4,5,6,7,0,0,0,0,0,0,0,0,-2,0,1,1,2,2,4,-32
f181,1,1,1,1,1,1,1,0,0,0,0,0,0,0,5,7,25,63,129,231,377,-24
f182,1,1,1,1,1,1,2,0,0,0,0,0,0,0,4,6,21,52,106,189,308,-24
f183,1,1,1,1,1,2,2,0,0,0,0,0,0,0,3,5,17,41,83,147,239,-26
f184,1,1,1,1,1,2,3,0,0,0,0,0,0,0,3,5,16,39,78,138,224,-30
f185,1,1,1,1,2,2,2,0,0,0,0,0,0,0,2,4,13,30,60,105,170,-32
f186,1,1,1,1,2,2,3,0,0,0,0,0,0,0,2,4,12,28,55,96,155,-38
f187,1,1,1,1,2,3,4,0,0,0,0,0,0,0,2,4,11,25,49,85,136,-46
f188,1,1,1,2,2,2,2,0,0,0,0,0,0,0,1,3,10,22,44,76,123,-26
f189,1,1,1,2,2,2,3,0,0,0,0,0,0,0,1,3,9,20,39,67,108,-34
f190,1,1,1,2,2,3,3,0,0,0,0,0,0,0,1,3,8,18,34,58,93,-44
f191,1,1,1,2,2,3,4,0,0,0,0,0,0,0,1,3,8,17,33,56,89,-46
f192,1,1,1,2,2,3,5,0,0,0,0,0,0,0,1,3,8,17,32,55,87,-52
f193,1,1,1,2,3,3,4,0,0,0,0,0,0,0,1,3,7,15,28,47,74,-60
f194,1,1,1,2,3,4,5,0,0,0,0,0,0,0,1,3,7,14,26,44,69,-64
f195,1,1,1,3,4,5,6,0,0,0,0,0,0,0,1,3,6,11,19,31,48,-96
f196,1,1,2,2,2,3,3,0,0,0,0,0,0,0,0,2,6,12,23,38,61,-38
f197,1,1,2,2,3,3,3,0,0,0,0,0,0,0,0,2,5,11,20,33,53,-36
f198,1,1,2,2,3,3,4,0,0,0,0,0,0,0,0,2,5,10,19,31,49,-40
f199,1,1,2,2,3,3,5,0,0,0,0,0,0,0,0,2,5,10,18,30,47,-48
f200,1,1,2,2,3,4,5,0,0,0,0,0,0,0,0,2,5,9,17,28,44,-46
f201,1,1,2,2,3,5,7,0,0,0,0,0,0,0,0,2,5,9,16,26,40,-64
f202,1,1,2,3,3,3,4,0,0,0,0,0,0,0,0,2,4,9,16,26,41,-40
f203,1,1,2,3,3,4,4,0,0,0,0,0,0,0,0,2,4,8,15,24,37,-46
f204,1,1,2,3,3,4,5,0,0,0,0,0,0,0,0,2,4,8,14,23,36,-48
f205,1,1,2,3,3,4,5,0,0,0,0,0,0,0,0,2,4,8,14,23,35,-56
f206,1,1,2,3,3,4,7,0,0,0,0,0,0,0,0,2,4,8,14,22,34,-60
f207,1,1,2,3,3,5,8,0,0,0,0,0,0,0,0,2,4,8,13,21,32,-72
f208,1,1,2,3,4,4,5,0,0,0,0,0,0,0,0,2,4,7,13,21,32,-56
f209,1,1,2,3,4,5,5,0,0,0,0,0,0,0,0,2,4,7,12,20,30,-68
f210,1,1,2,3,4,5,6,0,0,0,0,0,0,0,0,2,4,7,12,19,30,-60
f211,1,1,2,3,4,5,7,0,0,0,0,0,0,0,0,2,4,7,12,19,28,-80
f212,1,1,2,4,5,6,7,0,0,0,0,0,0,0,0,2,4,6,10,15,23,-80
f213,1,1,3,4,4,5,5,0,0,0,0,0,0,0,0,2,3,5,9,15,22,-54
f214,1,1,3,4,4,5,6,0,0,0,0,0,0,0,0,2,3,5,9,14,21,-56
f215,1,1,3,4,4,5,9,0,0,0,0,0,0,0,0,2,3,5,9,14,20,-74
f216,1,1,3,4,5,5,6,0,0,0,0,0,0,0,0,2,3,5,8,13,20,-62
f217,1,1,3,4,5,6,7,0,0,0,0,0,0,0,0,2,3,5,8,12,18,-66
f218,1,1,3,4,5,6,7,0,0,0,0,0,0,0,0,2,3,5,8,12,18,-82
f219,1,1,3,5,6,7,8,0,0,0,0,0,0,0,0,2,3,5,7,10,15,-82
f220,1,1,4,5,6,6,7,0,0,0,0,0,0,0,0,2,3,4,6,9,14,-70
f221,1,1,4,5,6,7,8,0,0,0,0,0,0,0,0,2,3,4,6,9,13,-74
f222,1,1,4,6,7,8,9,0,0,0,0,0,0,0,0,2,3,4,6,8,11,-88
f223,1,1,5,7,8,9,10,0,0,0,0,0,0,0,0,2,3,4,5,7,9,-96
f224,1,1,6,8,9,10,11,0,0,0,0,0,0,0,0,2,3,4,5,6,8,-104
f225,1,2,2,3,3,4,5,0,0,0,0,0,0,0,-1,1,3,5,9,14,22,-38
f226,1,2,2,3,5,7,9,0,0,0,0,0,0,0,-1,1,3,4,7,10,15,-60
f227,1,2,3,3,4,4,5,0,0,0,0,0,0,0,-1,1,2,4,7,10,16,-36
f228,1,2,3,3,4,5,5,0,0,0,0,0,0,0,-1,1,2,4,6,10,15,-36
f229,1,2,3,3,4,5,7,0,0,0,0,0,0,0,-1,1,2,4,6,9,14,-40
f230,1,2,3,3,4,5,8,0,0,0,0,0,0,0,-1,1,2,4,6,9,14,-44
f231,1,2,3,4,4,5,5,0,0,0,0,0,0,0,-1,1,2,3,6,9,13,-36
f232,1,2,3,4,4,5,7,0,0,0,0,0,0,0,-1,1,2,3,6,8,12,-44
f233,1,2,3,4,5,5,6,0,0,0,0,0,0,0,-1,1,2,3,5,8,12,-44
f234,1,2,3,4,5,5,7,0,0,0,0,0,0,0,-1,1,2,3,5,8,11,-42
f235,1,2,3,4,5,7,7,0,0,0,0,0,0,0,-1,1,2,3,5,7,10,-52
f236,1,2,3,4,5,7,9,0,0,0,0,0,0,0,-1,1,2,3,5,7,10,-50
f237,1,2,3,5,5,7,12,0,0,0,0,0,0,0,-1,1,2,3,4,7,9,-62
f238,1,2,3,5,7,8,9,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,-70
f239,1,2,5,6,7,7,8,0,0,0,0,0,0,0,-1,1,2,2,3,4,6,-50
f240,1,2,5,6,7,9,11,0,0,0,0,0,0,0,-1,1,2,2,3,4,6,-56
f241,1,3,3,4,5,7,10,0,0,0,0,0,0,0,-1,1,1,3,4,5,8,-46
f242,1,3,4,4,5,6,7,0,0,0,0,0,0,0,-1,1,1,2,4,5,7,-36
f243,1,3,4,5,5,6,7,0,0,0,0,0,0,0,-1,1,1,2,3,5,7,-38
f244,1,3,4,5,6,7,10,0,0,0,0,0,0,0,-1,1,1,2,3,4,6,-42
f245,1,3,4,5,7,8,11,0,0,0,0,0,0,0,-1,1,1,2,3,4,5,-52
f246,1,3,5,6,7,8,11,0,0,0,0,0,0,0,-1,1,1,2,2,3,5,-44
f247,1,4,4,5,6,7,9,0,0,0,0,0,0,0,-1,1,1,1,3,4,5,-38
f248,1,4,5,5,6,7,8,0,0,0,0,0,0,0,-1,1,1,1,2,4,5,-36
f249,1,5,5,6,7,8,9,0,0,0,0,0,0,0,-1,1,1,1,1,3,4,-36
